ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
134, White-tailed Deer,"(35.9859998, -83.9375598)",35.9859998,-83.9375598
1, White-tailed Deer,"(36.0181316, -78.8751582)",36.0181316,-78.8751582
691, White-tailed Deer,"(36.0214606, -78.9221796)",36.0214606,-78.9221796
740, White-tailed Deer,"(36.0605095, -79.1172679)",36.0605095,-79.1172679
877, White-tailed Deer,"(36.0625843, -94.1574328)",36.0625843,-94.1574328
843, White-tailed Deer,"(36.077237, -78.920443)",36.077237,-78.920443
911, White-tailed Deer,"(36.091463, -80.359196)",36.091463,-80.359196
233, White-tailed Deer,"(36.091803, -90.5778883)",36.091803,-90.5778883
108, White-tailed Deer,"(36.103798350000005, -86.54148081515012)",36.10379835,-86.54148082
411, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
412, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
413, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
414, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
415, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
416, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
417, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
418, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
419, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
420, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
421, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
422, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
423, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
424, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
425, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
426, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
427, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
