ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
573, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
526, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
858, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
846, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
906, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
894, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
751, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
704, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
716, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
799, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
811, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
763, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
165, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
36, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
20, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
382, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
436, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
418, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
434, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
293, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
127, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
128, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
129, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
130, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
131, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
132, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
133, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
134, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
135, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
136, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
137, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
14, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
333, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
334, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
335, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
337, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
338, Polar Bear,"(79.64349784999999, 11.693902074635972)",79.64349785,11.69390207
308, Polar Bear,"(80.2550194717, 12.9044931372)",80.25501947,12.90449314
377, Polar Bear,"(80.3582491856, 7.1077731357)",80.35824919,7.107773136
57, Polar Bear,"(80.6812174206, 17.3944860794)",80.68121742,17.39448608
58, Polar Bear,"(80.7353934482, 17.3340128937)",80.73539345,17.33401289
56, Polar Bear,"(80.7688622844, 16.4737744967)",80.76886228,16.4737745
243, Polar Bear,"(81.1836878378, 22.1235594707)",81.18368784,22.12355947
23, Polar Bear,"(81.4240642631, 23.5260412867)",81.42406426,23.52604129
